aircraft	飞机,航空器
sad	伤心,哀伤,忧伤,悲伤
salute	礼炮,敬礼
scared	害怕,惊恐,惊慌
seashell	贝壳,海贝
seesaw	跷跷板
shadow	阴影,影子,见学
shark	鲨鱼
shipwreck	沉船
shirt	衬衫,衬衣
shopping	购物,买东西,买的东西,血拼
singer	歌手
skate	滑冰,冰鞋,溜冰,鳐
skateboard	滑板
ski	滑雪,滑雪板,雪板
skirt	短裙,裙,裙子,边缘，裙边
soap	肥皂
soda	苏打,汽水,碳酸钠
softball	垒球
song	歌曲,唱儿,歌,歌儿
spider	蜘蛛
spring	弹簧,发条,春天,春季,泉,源泉
sprinkler	洒水器,喷洒装置,喷灌器,自动喷水灭火装置
spy	间谍,暗中侦察
square	广场,平方,正方形
stiff	僵硬,硬
storm	风暴
story	故事
stove	火炉,炉,炉子
stripe	条纹
student	学生
suitcase	手提箱,皮箱,行李箱,衣箱
sunflower	向日葵,日头花,葵花
taxi	出租车,出租汽车,德士,滑行,的士,计程车
teapot	茶壶
think	认为,念,思考,想,考虑
throne	王座,宝座,御座,王位,皇位
tool	工具
torch	火炬,薪火
tornado	龙卷风
tractor	拖拉机,铁牛
treasure	宝藏,珍宝,珍视,珍重,瑰宝,财富,金银财宝
triangle	三角形,三角,三角铁
trip	旅行,旅游,旅程,旅途,绊倒
trumpet	喇叭,小号
tuba	大号
tusk	象牙,牙,长牙
vest	背心,坎肩
violin	小提琴
volcano	火山
waist	腰部,腰
wallet	钱包,皮夹,钱袋
watermelon	西瓜
wedding	婚礼
white	白色,卵白,白人,白眼珠,白种人,蛋清,蛋白
wig	假发
windmill	风车
wink	眨眼,眨,眨眼睛
