aircraft	aeronave
president	presidente,presidenta
princess	princesa,infanta
puppet	marioneta,fantoche,títere
purse	bolso,bolsa,bulto,cartera,fruncir,monedero
queen	reina,coronar,gata,loca,reinona
quiet	tranquilo,callado,callar,calma,calmar,calmo,detenido,pacífico,poco,quieto,reservado,silencio,silencioso,silente,tranquilidad
race	carrera,correr,raíz,raza
radio	radio
radish	rábano
recycle	reciclar,reusar
rhinoceros	rinoceronte
robot	robot
roof	techo,techar,tejado
round	redondo,asalto,circular,esférico,etapa,ronda
rug	alfombra,alfombrilla,tapete
sad	triste
salute	saludo,venia
scared	asustado
seashell	concha
seesaw	balancín,balanceo,subibaja
shadow	sombra
shark	tiburón,escualo
shipwreck	naufragio,naufragar,pecio
shirt	camisa
shopping	compras,shopping
singer	cantante,cantor,cantora
skate	patinar,patín,patinaje
skateboard	patineta,monopatín,skate
ski	esquí,esquiar
skirt	falda,enaguas,pollera,saya
soap	jabón,enjabonar
soda	soda,bebida,casera,chesco,cola,fresco,gaseosa,refresco,sosa
softball	sofbol,sófbol
song	canción
spider	araña
spring	primavera,esprín,fuente,manantial,muelle,origen,resorte,saltar
sprinkler	aspersor
spy	espiar,chivato,espía
square	cuadrado,alinear,almohadilla,anticuado,carca,carroza,cartabón,casilla,cuadrar,cuadriculado,cuadro,escuadra,perpendicular,plaza,resolver,soso,zanahorio
stiff	rígido,adolorido,dolorido,duro,fiambre,inflexible,serio,severo,tieso
storm	tormenta,asaltar,borrasca,irrumpir,tempestad,temporal,vendaval
story	historia,crónica,relato
stove	estufa,calentador,cocina,hornillo
stripe	raya,franja,galón,línea,lista
student	estudiante,alumna,alumno,universitario
suitcase	maleta,petaca,valija
sunflower	girasol,maravilla,mirasol,tornasol
taxi	taxi,carretear,libre,taxímetro
teapot	tetera
think	pensar,creer,opinar,pensada,pensamiento,suponer
throne	trono
tool	herramienta,instrumento,utensilio
torch	antorcha
tornado	tornado
tractor	tractor,cabezal
treasure	tesoro,atesorar
triangle	triángulo
trip	viaje,tripear,tropezar,zancadilla,zancadillear
trumpet	trompeta,barritar,barrito,berrido,trompetear
tuba	tuba
tusk	colmillo
vest	chaleco,chalequillo
violin	violín
volcano	volcán
waist	cintura
wallet	billetera,cartera
watermelon	sandía,patilla
wedding	boda,casamiento,casorio,nupcias
white	blanco,albumen,blanca,clara
wig	peluca
windmill	molino
wink	guiño,guiñar
