en-US=abacus	zh=算盘
en-US=corvette	zh=护卫舰
en-US=cosmos	es-ES=cosmos
en-US=costume	es-ES=traje
en-US=countenance	zh=面容
en-US=counterpart	zh=对方
en-US=counter	zh=柜台
en-US=county	es-ES=condado
en-US=coursework	zh=课程
en-US=cowboy	zh=牛仔
en-US=crackdown	es-ES=represión
en-US=creator	es-ES=creador
en-US=crisis	es-ES=crisis
en-US=crisis	zh=危机
en-US=cruelty	es-ES=crueldad
en-US=crusade	es-ES=cruzada
en-US=culture	zh=文化
en-US=curtains	es-ES=cortinas
en-US=customs	zh=关税
en-US=cutlery	zh=餐具
en-US=cycle	es-ES=ciclo
en-US=database	zh=数据库
en-US=data	es-ES=datos
en-US=daughter	es-ES=hija
en-US=daughter	zh=女儿
en-US=debt	es-ES=deuda
en-US=defendant	zh=被告
en-US=defend	es-ES=defender
en-US=defiance	es-ES=desafío
en-US=deficit	es-ES=déficit
en-US=delete	zh=删除
en-US=democracy	es-ES=democracia
en-US=democrat	es-ES=demócrata
en-US=demonstrate	zh=论证
en-US=dependent	es-ES=dependiente
en-US=deploy	zh=部署
en-US=describe	es-ES=describir
en-US=desktop	zh=桌面
en-US=diabetes	es-ES=diabetes
en-US=diabetes	zh=糖尿病
en-US=diagnose	zh=诊断
en-US=diagnosis	zh=诊断
en-US=dialog	es-ES=diálogo
en-US=diameter	es-ES=diámetro
en-US=diameter	zh=直径
en-US=diaper	zh=尿布
en-US=diary	es-ES=diario
en-US=diary	zh=日记
en-US=dictionary	es-ES=diccionario
en-US=diesel	zh=柴油
en-US=diet	es-ES=dieta
en-US=diode	zh=二极管
en-US=diplomacy	es-ES=diplomacia
en-US=directory	es-ES=directorio
en-US=disaster	es-ES=desastre
en-US=disaster	zh=灾难
en-US=discipline	zh=纪律
en-US=discount	zh=折扣
en-US=display	zh=显示器
en-US=dispute	es-ES=disputa
en-US=distance	zh=距离
en-US=distinguish	es-ES=distinguir
en-US=district	es-ES=distrito
en-US=doctorate	zh=博士
en-US=doctrine	es-ES=doctrina
en-US=domicile	es-ES=domicilio
en-US=domino	es-ES=dominó
en-US=doorstep	es-ES=umbral
en-US=dopamine	zh=多巴胺
en-US=dove	zh=鸽子
en-US=duchess	es-ES=duquesa
en-US=dune	zh=沙丘
en-US=dynamo	zh=发电机
en-US=eagle	es-ES=águila
en-US=earthquake	zh=地震
en-US=easy	es-ES=fácil
en-US=ecology	es-ES=ecología
en-US=economist	es-ES=economista
en-US=economist	zh=经济学家
en-US=economy	es-ES=economía
en-US=economy	zh=经济
en-US=editor	zh=编辑
en-US=edit	zh=编辑
en-US=efficacy	es-ES=eficacia
en-US=eighteen	es-ES=dieciocho,18
en-US=eighty	es-ES=ochenta,80
en-US=electrician	zh=电工
en-US=electrode	zh=电极
en-US=eleven	es-ES=once,11
en-US=elite	zh=精英
en-US=embargo	es-ES=embargo
en-US=embassy	es-ES=embajada
en-US=embassy	zh=大使馆
en-US=embrace	zh=拥抱
en-US=emissary	zh=使者
en-US=emperor	es-ES=emperador
en-US=empire	es-ES=imperio
en-US=empire	zh=帝国
en-US=employer	zh=雇主
en-US=energy	es-ES=energía
en-US=engine	es-ES=motor
en-US=english	es-ES=inglés
en-US=enhance	zh=改善
en-US=enter	es-ES=entrar
en-US=entrepreneur	zh=企业家
en-US=envelope	zh=信封
en-US=epee	es-ES=espada
en-US=epinephrine	zh=肾上腺素
en-US=equator	es-ES=ecuador
en-US=equilibrium	es-ES=equilibrio
en-US=equilibrium	zh=平衡
en-US=equivalent	es-ES=equivalente
en-US=ethylene	zh=乙烯
en-US=euro	es-ES=euro
en-US=euro	zh=欧元
en-US=everybody	zh=大家
en-US=explain	es-ES=explicar
en-US=explore	es-ES=explorar
en-US=extend	zh=延长
en-US=eyelash	zh=睫毛
en-US=faculty	es-ES=facultad
en-US=fatty	zh=胖子
en-US=feminist	es-ES=feminista
en-US=fetus	es-ES=feto
en-US=fifteen	es-ES=quince,15
en-US=finger	zh=手指
en-US=firewood	es-ES=leña
en-US=firework	zh=烟火
en-US=fist	zh=拳头
en-US=flamingo	es-ES=flamenco
en-US=flashlight	zh=手电筒
en-US=flax	zh=亚麻
en-US=fleet	es-ES=flota
en-US=flexible	zh=灵活
en-US=fluid	es-ES=fluido
en-US=footbridge	zh=天桥
en-US=forbidden	es-ES=prohibido
en-US=forehead	es-ES=frente
en-US=forestry	zh=林业
en-US=fortune	es-ES=fortuna
en-US=forum	es-ES=foro
en-US=fourteen	es-ES=catorce,14
en-US=foxglove	es-ES=digital
en-US=fracture	zh=骨折
en-US=framework	es-ES=infraestructura
en-US=freedom	es-ES=libertad
en-US=freeway	zh=高速公路
en-US=frequent	zh=频繁
en-US=fuel	es-ES=combustible
en-US=fuel	zh=燃料
en-US=fulfill	zh=履行
en-US=furniture	zh=家具
en-US=fuselage	zh=机身
en-US=gallery	es-ES=galería
en-US=gallery	zh=画廊
en-US=garage	zh=车库
en-US=gasoline	zh=汽油
en-US=gather	zh=收集
en-US=gender	zh=性别
en-US=geometry	es-ES=geometría
en-US=giant	zh=巨人
en-US=ginkgo	zh=银杏
en-US=giraffe	zh=长颈鹿
en-US=glossy	zh=光泽
en-US=glove	zh=手套
en-US=goddess	es-ES=diosa
en-US=goddess	zh=女神
en-US=goldfish	zh=金鱼
en-US=golf	es-ES=golf
en-US=golf	zh=高尔夫球
en-US=gospel	es-ES=evangelio
en-US=govern	es-ES=gobernar
en-US=grandchild	es-ES=nieto
en-US=grandma	es-ES=abuela
en-US=grandmother	es-ES=abuela
en-US=grandson	es-ES=nieto
en-US=grandstand	zh=看台
en-US=granny	zh=奶奶
en-US=granule	zh=颗粒
en-US=grape	zh=葡萄
en-US=graphite	zh=石墨
en-US=greenhouse	zh=温室
en-US=grouper	es-ES=mero
en-US=growth	zh=生长
en-US=gunman	zh=枪手
en-US=gunpowder	zh=火药
en-US=gymnasium	es-ES=gimnasio
en-US=gymnasium	zh=健身房
en-US=haircut	zh=发型
en-US=hamster	zh=仓鼠
en-US=handbook	es-ES=manual
en-US=handbook	zh=手册
en-US=handkerchief	es-ES=pañuelo
en-US=handmade	zh=手工
en-US=hardwood	es-ES=madera
en-US=harem	zh=后宫
en-US=harm	zh=损害
en-US=harvest	zh=收获
en-US=headdress	es-ES=tocado
en-US=headscarf	es-ES=velo
en-US=hedgehog	zh=刺猬
en-US=heirloom	es-ES=patrimonio
en-US=helicopter	zh=直升机
en-US=hemisphere	es-ES=hemisferio
en-US=hemoglobin	zh=血红蛋白
en-US=heritage	zh=遗产
en-US=herpes	zh=疱疹
en-US=hickory	zh=山核桃
en-US=hidden	es-ES=oculto
en-US=hierarchy	es-ES=jerarquía
en-US=homage	es-ES=homenaje
en-US=homeowner	zh=屋主
en-US=horizon	es-ES=horizonte
en-US=hormone	zh=激素
en-US=horror	es-ES=horror
en-US=hostess	zh=女主人
en-US=hotline	zh=热线
en-US=hunter	es-ES=cazador
en-US=hunter	zh=猎人
en-US=hurricane	es-ES=huracán
en-US=hurricane	zh=飓风
en-US=hydrangea	es-ES=hortensia
en-US=hydrogen	es-ES=hidrógeno
en-US=hygiene	es-ES=higiene
en-US=hygiene	zh=卫生
en-US=hypothesis	es-ES=hipótesis
en-US=iceberg	zh=冰山
en-US=idea	es-ES=idea
en-US=ideology	es-ES=ideología
en-US=illiterate	zh=文盲
en-US=imaginary	es-ES=imaginario
en-US=important	es-ES=importante
en-US=incident	es-ES=incidente
en-US=income	es-ES=ingresos
en-US=incorporate	es-ES=incorporar
en-US=independent	es-ES=independiente
en-US=indicator	es-ES=indicador
en-US=indium	es-ES=indio
en-US=indoors	zh=室内
en-US=indoor	zh=室内
en-US=infant	zh=婴儿
en-US=inferno	es-ES=infierno
en-US=infinite	es-ES=infinito
en-US=infrastructure	es-ES=infraestructura
en-US=inhibit	zh=抑制
en-US=injustice	es-ES=injusticia
en-US=innovate	zh=创新
en-US=input	zh=输入
en-US=insecticide	zh=杀虫剂
en-US=insider	es-ES=iniciado
en-US=insomnia	es-ES=insomnio
en-US=insomnia	zh=失眠
en-US=install	es-ES=instalar
en-US=install	zh=安装
en-US=instinct	es-ES=instinto
en-US=institute	zh=学院
en-US=instructor	zh=教练
en-US=insufficient	es-ES=insuficiente
en-US=insulin	es-ES=insulina
en-US=insulin	zh=胰岛素
en-US=intelligent	es-ES=inteligente
en-US=interferon	zh=干扰素
en-US=intern	zh=实习生
en-US=intervene	es-ES=intervenir
en-US=introduce	zh=介绍
en-US=investigator	zh=调查者
en-US=invest	zh=投资
en-US=invisible	es-ES=invisible
en-US=irony	es-ES=ironía
en-US=itinerary	es-ES=itinerario
en-US=jail	es-ES=cárcel
en-US=jail	zh=监狱
en-US=journalist	zh=记者
en-US=juror	es-ES=jurado
en-US=juror	zh=陪审员
en-US=jury	es-ES=jurado
en-US=kangaroo	zh=袋鼠
en-US=keepsake	zh=纪念品
en-US=keyword	zh=关键词
en-US=kingdom	es-ES=reino
en-US=kitchen	zh=厨房
en-US=knockoff	es-ES=imitación
en-US=known	es-ES=conocido
en-US=laboratory	es-ES=laboratorio
en-US=labyrinth	es-ES=laberinto
en-US=landowner	zh=地主
en-US=landscape	zh=风景
en-US=laughter	es-ES=risa
en-US=lava	zh=熔岩
en-US=lecturer	es-ES=docente
en-US=lecture	zh=演讲
en-US=legacy	es-ES=legado
en-US=legacy	zh=遗产
en-US=legislature	es-ES=legislatura
en-US=legitimacy	es-ES=legitimidad
en-US=lend	es-ES=prestar
en-US=lettuce	es-ES=lechuga
en-US=liberty	es-ES=libertad
en-US=lieutenant	es-ES=teniente
en-US=ligand	zh=配体
en-US=limestone	zh=石灰岩
en-US=liqueur	es-ES=licor
en-US=literary	es-ES=literario
en-US=literature	es-ES=literatura
en-US=litre	es-ES=litro
en-US=liver	es-ES=hígado
en-US=lizard	zh=蜥蜴
en-US=lobster	zh=龙虾
en-US=locust	zh=蝗虫
en-US=lollipop	zh=棒棒糖
en-US=longitude	es-ES=longitud
en-US=lottery	es-ES=lotería
en-US=loyalty	es-ES=lealtad
en-US=luggage	es-ES=equipaje
en-US=lunar	es-ES=lunar
en-US=luncheon	es-ES=almuerzo
en-US=lung	es-ES=pulmón
en-US=machine	es-ES=máquina
en-US=macho	zh=男子汉
en-US=mafia	es-ES=mafia
en-US=magma	zh=岩浆
en-US=mainland	es-ES=continente
en-US=mainstream	zh=主流
en-US=majesty	es-ES=majestad
en-US=makeup	zh=化妆
en-US=manifesto	es-ES=manifiesto
en-US=manufacturer	es-ES=fabricante
en-US=manuscript	es-ES=manuscrito
en-US=maple	es-ES=arce
en-US=margin	es-ES=margen
en-US=marketplace	es-ES=mercado
en-US=mascot	zh=吉祥物
en-US=math	es-ES=matemática
en-US=mattress	zh=床垫
en-US=maverick	zh=特立独行
en-US=medium	zh=中型
en-US=melody	es-ES=melodía
en-US=membrane	es-ES=membrana
en-US=memoir	es-ES=memoria
en-US=menagerie	zh=动物园
en-US=merchandise	es-ES=mercancía
en-US=mercury	es-ES=mercurio
en-US=metaphor	es-ES=metáfora
en-US=methane	zh=甲烷
en-US=microphone	es-ES=micrófono
en-US=midnight	es-ES=medianoche
en-US=millennium	es-ES=milenio
en-US=millionaire	zh=百万富翁
en-US=ministry	es-ES=ministerio
en-US=miracle	es-ES=milagro
en-US=miracle	zh=奇迹
en-US=mirror	es-ES=espejo
en-US=mirror	zh=镜子
en-US=modern	es-ES=moderno
en-US=modify	es-ES=modificar
en-US=molecular	es-ES=molecular
en-US=molecule	es-ES=molécula
en-US=molecule	zh=分子
en-US=monarch	es-ES=monarca
en-US=monarchy	es-ES=monarquía
en-US=monastery	es-ES=monasterio
en-US=monetary	es-ES=monetario
en-US=monomer	zh=单体
en-US=monster	es-ES=monstruo
en-US=morphine	zh=吗啡
en-US=mosquito	zh=蚊子
en-US=motor	es-ES=motor
en-US=motorway	zh=公路
en-US=mountainside	es-ES=ladera
en-US=multimedia	es-ES=multimedia
en-US=multimedia	zh=多媒体
en-US=museum	es-ES=museo
en-US=museum	zh=博物馆
en-US=musician	es-ES=músico
en-US=myth	es-ES=mito
en-US=narrator	es-ES=narrador
en-US=nationalist	es-ES=nacionalista
en-US=nature	es-ES=naturaleza
en-US=nature	zh=自然
en-US=navy	zh=海军
en-US=nebula	zh=星云
en-US=necklace	zh=项链
en-US=necktie	es-ES=corbata
en-US=necktie	zh=领带
en-US=negotiate	zh=谈判
en-US=nephew	es-ES=sobrino
en-US=neutron	zh=中子
en-US=newsroom	zh=编辑部
en-US=nicotine	zh=尼古丁
en-US=nine	es-ES=nueve,9
en-US=ninety	es-ES=noventa,90
en-US=nitrogen	es-ES=nitrógeno
en-US=northwest	es-ES=noroeste
en-US=northwest	zh=西北
en-US=nostalgia	es-ES=nostalgia
en-US=notepad	zh=记事本
en-US=novelty	es-ES=novedad
en-US=nuclear	es-ES=nuclear
en-US=nude	es-ES=desnudo
en-US=nylon	zh=尼龙
en-US=observer	es-ES=observador
en-US=occur	zh=发生
en-US=ocean	es-ES=océano
en-US=opera	es-ES=ópera
en-US=operator	es-ES=operador
en-US=optimize	zh=优化
en-US=orchestra	es-ES=orquesta
en-US=orchid	zh=兰花
en-US=organize	es-ES=organizar
en-US=organizer	es-ES=organizador
en-US=organize	zh=组织
en-US=orient	es-ES=orientar
en-US=ostrich	zh=鸵鸟
en-US=outcry	es-ES=protesta
en-US=outer	es-ES=externo
en-US=outfield	es-ES=jardín
en-US=outline	zh=轮廓
en-US=output	zh=输出
en-US=overpass	zh=立交桥
en-US=overuse	es-ES=usar
en-US=owner	zh=所有者
en-US=oxidase	zh=氧化酶
en-US=oxygen	es-ES=oxígeno
en-US=ozone	zh=臭氧
en-US=panorama	es-ES=panorama
en-US=papaya	zh=木瓜
en-US=parade	zh=游行
en-US=paradigm	es-ES=paradigma
en-US=paradise	es-ES=paraíso
en-US=paradox	es-ES=paradoja
en-US=paragraph	es-ES=párrafo
en-US=parallel	es-ES=paralelo
en-US=parent	es-ES=padre
en-US=parents	es-ES=padres
en-US=parliamentary	es-ES=parlamentario
en-US=parsley	es-ES=perejil
en-US=particular	es-ES=particular
en-US=passport	es-ES=pasaporte
en-US=passport	zh=护照
en-US=patent	zh=专利
en-US=pathology	es-ES=patología
en-US=patient	es-ES=paciente
en-US=patriot	zh=爱国者
en-US=peaceful	zh=平安
en-US=peasant	es-ES=campesino
en-US=penalty	zh=惩罚
en-US=pencil	es-ES=lápiz
en-US=pencil	zh=铅笔
en-US=penguin	zh=企鹅
en-US=peninsula	es-ES=península
en-US=peony	zh=牡丹
en-US=percentage	es-ES=porcentaje
en-US=permanent	es-ES=permanente
en-US=persistent	es-ES=persistente
en-US=persona	es-ES=personaje
en-US=phenomenon	zh=现象
en-US=phosphatase	zh=磷酸酶
en-US=phosphate	zh=磷酸盐
en-US=photographer	zh=摄影师
en-US=photon	zh=光子
en-US=physicist	es-ES=físico
en-US=pigeon	zh=鸽子
en-US=pillow	es-ES=almohada
en-US=pint	es-ES=pinta
en-US=pipeline	zh=管道
en-US=piston	zh=活塞
en-US=pixel	zh=像素
en-US=placebo	zh=安慰剂
en-US=plaintiff	zh=原告
en-US=planet	es-ES=planeta
en-US=planet	zh=行星
en-US=planner	es-ES=agenda
en-US=plasma	es-ES=plasma
en-US=plaster	zh=石膏
en-US=playmate	zh=玩伴
en-US=plaza	zh=广场
en-US=poet	zh=诗人
en-US=polyester	zh=聚酯
en-US=polyethylene	zh=聚乙烯
en-US=polymerase	zh=聚合酶
en-US=polypeptide	zh=多肽
en-US=polypropylene	zh=聚丙烯
en-US=polyurethane	zh=聚氨酯
en-US=poplar	zh=杨树
en-US=poppy	zh=罂粟
en-US=popular	es-ES=popular
en-US=pork	zh=猪肉
en-US=portrait	es-ES=retrato
en-US=portrait	zh=肖像
en-US=possible	es-ES=posible
en-US=postdoc	zh=博士后
en-US=powerful	es-ES=poderoso
en-US=practice	zh=练习
en-US=practise	es-ES=practicar
en-US=prairie	zh=草原
en-US=precinct	es-ES=recinto
en-US=precursor	zh=先驱
en-US=prepare	zh=准备
en-US=prisoner	zh=囚犯
en-US=privacy	zh=隐私
en-US=process	zh=过程
en-US=proclaim	zh=宣布
en-US=producer	es-ES=productor
en-US=product	es-ES=producto
en-US=progress	es-ES=progreso
en-US=proof	zh=证据
en-US=propaganda	es-ES=propaganda
en-US=protagonist	es-ES=protagonista
en-US=protease	zh=蛋白酶
en-US=protein	es-ES=proteína
en-US=proton	zh=质子
en-US=proud	es-ES=orgulloso
en-US=provide	zh=供给
en-US=province	es-ES=provincia
en-US=prudent	es-ES=prudente
en-US=psychiatry	es-ES=psiquiatría
en-US=psychology	es-ES=psicología
en-US=publish	zh=出版
en-US=puck	zh=冰球
en-US=pulmonary	es-ES=pulmonar
en-US=pulse	es-ES=pulso
en-US=pumpkin	zh=南瓜
en-US=puppy	zh=小狗
en-US=purchase	zh=购买
en-US=pyramid	es-ES=pirámide
en-US=quadrant	zh=象限
en-US=quest	es-ES=búsqueda
en-US=questionnaire	zh=问卷
en-US=radar	zh=雷达
en-US=rainfall	es-ES=precipitación
en-US=raisin	es-ES=pasa
en-US=ranch	es-ES=rancho
en-US=random	zh=随机
en-US=ravine	zh=山沟
en-US=rebuild	es-ES=reconstruir
en-US=recent	es-ES=reciente
en-US=recipe	es-ES=receta
en-US=recommend	zh=推荐
en-US=reconnaissance	es-ES=reconocimiento
en-US=reflex	es-ES=reflejo
en-US=reform	zh=改革
en-US=refrigerator	zh=冰箱
en-US=regime	es-ES=régimen
en-US=regulate	zh=调节
en-US=relish	zh=品味
en-US=remedy	zh=医药
en-US=remind	zh=提醒
en-US=renaissance	zh=复兴
en-US=repair	zh=修理
en-US=repeat	zh=重复
en-US=repertoire	es-ES=repertorio
en-US=reporter	zh=记者
en-US=represent	es-ES=representar
en-US=researcher	es-ES=investigador
en-US=reservoir	zh=水库
en-US=resident	zh=居民
en-US=resist	es-ES=resistir
en-US=resource	zh=资源
en-US=respond	es-ES=responder
en-US=response	zh=回答
en-US=revenue	zh=收入
en-US=reverse	zh=倒车
en-US=revolver	es-ES=revólver
en-US=rhubarb	zh=大黄
en-US=rhythm	es-ES=ritmo
en-US=rhythm	zh=节奏
en-US=robbery	zh=抢劫
en-US=rocket	zh=火箭
en-US=rogue	zh=狐狸精
en-US=romance	es-ES=romance
en-US=rosary	es-ES=rosario
en-US=rosemary	es-ES=romero
en-US=routine	zh=常规
en-US=sailboat	zh=帆船
en-US=salad	es-ES=ensalada
en-US=salmonella	zh=沙门氏菌
en-US=sandstone	zh=砂岩
en-US=satellite	es-ES=satélite
en-US=scan	zh=扫描
en-US=scientist	zh=科学家
en-US=screenwriter	zh=编剧
en-US=seashore	zh=海岸
en-US=seawater	zh=海水
en-US=semester	es-ES=semestre
en-US=semester	zh=学期
en-US=seminar	es-ES=seminario
en-US=settee	es-ES=sofá
en-US=seven	es-ES=siete,7
en-US=seventeen	es-ES=diecisiete,17
en-US=seventy	es-ES=setenta,70
en-US=sexy	zh=性感
en-US=shadow	es-ES=sombra
en-US=shareholder	zh=股东
en-US=shark	zh=鲨鱼
en-US=sheepskin	zh=羊皮
en-US=shelf	zh=架子
en-US=shellfish	zh=贝类
en-US=shire	es-ES=condado
en-US=shirt	es-ES=camisa
en-US=shopkeeper	zh=店主
en-US=shortfall	es-ES=déficit
en-US=shunt	zh=分流
en-US=signature	es-ES=firma
en-US=silk	es-ES=seda
en-US=silverware	es-ES=cubiertos
en-US=sincere	es-ES=sincero
en-US=singer	zh=歌手
en-US=sixteen	es-ES=dieciséis,16
en-US=sixth	es-ES=sexto
en-US=sixty	es-ES=sesenta,60
en-US=slavery	es-ES=esclavitud
en-US=slave	zh=奴隶
en-US=sleeve	zh=袖子
en-US=slipper	zh=拖鞋
en-US=smear	zh=涂抹
en-US=snowman	zh=雪人
en-US=socialist	es-ES=socialista
en-US=sociology	es-ES=sociología
en-US=sofa	es-ES=sofá
en-US=sofa	zh=沙发
en-US=softball	zh=垒球
en-US=softy	es-ES=sentimental
en-US=song	es-ES=canción
en-US=soprano	zh=女高音
en-US=sorghum	zh=高粱
en-US=southwest	zh=西南
en-US=sovereignty	es-ES=soberanía
en-US=specialist	es-ES=especialista
en-US=specialty	es-ES=especialidad
en-US=species	es-ES=especie
en-US=spectator	es-ES=espectador
en-US=spider	es-ES=araña
en-US=spider	zh=蜘蛛
en-US=spinach	zh=菠菜
en-US=spokesman	zh=发言人
en-US=spokesperson	zh=发言人
en-US=sportswear	zh=运动服
en-US=springboard	zh=跳板
en-US=springtime	es-ES=primavera
en-US=stadium	zh=体育场
en-US=standard	zh=标准
en-US=statue	es-ES=estatua
en-US=stimulus	es-ES=estímulo
en-US=stoneware	zh=石器
en-US=storm	zh=风暴
en-US=strategy	es-ES=estrategia
en-US=strategy	zh=战略
en-US=strawberry	zh=草莓
en-US=strength	zh=力气
en-US=stress	zh=压力
en-US=strict	es-ES=estricto
en-US=strict	zh=严格
en-US=structure	zh=结构
en-US=studio	es-ES=estudio
en-US=sublime	zh=崇高
en-US=subscribe	zh=订阅
en-US=subsequent	zh=随后
en-US=success	zh=成功
en-US=sucrose	zh=蔗糖
en-US=sufficient	es-ES=suficiente
en-US=summary	zh=摘要
en-US=sunshine	zh=阳光
en-US=superior	es-ES=superior
en-US=superior	zh=优越
en-US=suppress	zh=抑制
en-US=supreme	es-ES=supremo
en-US=surgeon	zh=外科医生
en-US=surname	es-ES=apellido
en-US=surplus	zh=过剩
en-US=surroundings	es-ES=entorno
en-US=survivor	zh=幸存者
en-US=suture	zh=缝合
en-US=swim	zh=游泳
en-US=swine	zh=卑贱
en-US=symphony	es-ES=sinfonía
